id,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20
4190,frozen vegetables,tomatoes,chicken,fresh bread,magazines,green tea,,,,,,,,,,,,,,
4191,dessert wine,ground beef,pepper,butter,chicken,french fries,zucchini,,,,,,,,,,,,,
4192,milk,frozen smoothie,,,,,,,,,,,,,,,,,,
4193,french fries,cottage cheese,,,,,,,,,,,,,,,,,,
4194,ground beef,spaghetti,milk,extra dark chocolate,green tea,,,,,,,,,,,,,,,
4195,tomatoes,meatballs,french fries,,,,,,,,,,,,,,,,,
4196,escalope,,,,,,,,,,,,,,,,,,,
4197,tomatoes,french fries,strawberries,,,,,,,,,,,,,,,,,
4198,frozen vegetables,chocolate,eggs,eggplant,clothes accessories,green tea,,,,,,,,,,,,,,
4199,avocado,brownies,,,,,,,,,,,,,,,,,,
4200,mineral water,eggs,cake,low fat yogurt,,,,,,,,,,,,,,,,
4201,dessert wine,ground beef,spaghetti,mineral water,salmon,cooking oil,,,,,,,,,,,,,,
4202,turkey,mineral water,eggs,bug spray,,,,,,,,,,,,,,,,
4203,avocado,,,,,,,,,,,,,,,,,,,
4204,ground beef,spaghetti,mineral water,nonfat milk,honey,pet food,eggplant,white wine,,,,,,,,,,,,
4205,cookies,,,,,,,,,,,,,,,,,,,
4206,mineral water,cake,,,,,,,,,,,,,,,,,,
4207,eggs,white wine,,,,,,,,,,,,,,,,,,
4208,cookies,,,,,,,,,,,,,,,,,,,
4209,burgers,milk,eggs,,,,,,,,,,,,,,,,,
4210,cookies,,,,,,,,,,,,,,,,,,,
4211,pasta,,,,,,,,,,,,,,,,,,,
4212,milk,,,,,,,,,,,,,,,,,,,
4213,chili,green beans,pancakes,,,,,,,,,,,,,,,,,
4214,mineral water,milk,chicken,eggs,blueberries,pancakes,,,,,,,,,,,,,,
4215,burgers,carrots,french fries,green tea,,,,,,,,,,,,,,,,
4216,eggs,cake,chicken,,,,,,,,,,,,,,,,,
4217,grated cheese,tomatoes,yams,avocado,salmon,rice,cooking oil,gluten free bar,protein bar,hand protein bar,,,,,,,,,,
4218,soup,french fries,body spray,,,,,,,,,,,,,,,,,
4219,eggs,green tea,,,,,,,,,,,,,,,,,,
4220,turkey,mineral water,chocolate,avocado,,,,,,,,,,,,,,,,
4221,chocolate,,,,,,,,,,,,,,,,,,,
4222,french fries,,,,,,,,,,,,,,,,,,,
4223,ham,vegetables mix,frozen smoothie,,,,,,,,,,,,,,,,,
4224,turkey,frozen vegetables,milk,eggs,,,,,,,,,,,,,,,,
4225,green tea,,,,,,,,,,,,,,,,,,,
4226,eggs,mushroom cream sauce,,,,,,,,,,,,,,,,,,
4227,vegetables mix,,,,,,,,,,,,,,,,,,,
4228,olive oil,salmon,vegetables mix,,,,,,,,,,,,,,,,,
4229,eggs,whole wheat rice,,,,,,,,,,,,,,,,,,
4230,french fries,escalope,pasta,mushroom cream sauce,,,,,,,,,,,,,,,,
4231,cider,honey,low fat yogurt,,,,,,,,,,,,,,,,,
4232,mineral water,soup,avocado,champagne,gluten free bar,magazines,mayonnaise,low fat yogurt,,,,,,,,,,,,
4233,ground beef,black tea,,,,,,,,,,,,,,,,,,
4234,turkey,chocolate,whole wheat rice,,,,,,,,,,,,,,,,,
4235,escalope,pasta,,,,,,,,,,,,,,,,,,
4236,french fries,,,,,,,,,,,,,,,,,,,
4237,spaghetti,mineral water,avocado,almonds,french wine,oil,green tea,french fries,frozen smoothie,melons,,,,,,,,,,
4238,soup,milk,,,,,,,,,,,,,,,,,,
4239,tomatoes,french fries,,,,,,,,,,,,,,,,,,
4240,mint green tea,candy bars,,,,,,,,,,,,,,,,,,
4241,turkey,,,,,,,,,,,,,,,,,,,
4242,herb & pepper,milk,chicken,vegetables mix,cereals,low fat yogurt,,,,,,,,,,,,,,
4243,soup,butter,chocolate,,,,,,,,,,,,,,,,,
4244,red wine,mineral water,soup,avocado,eggs,oil,corn,chocolate bread,french fries,body spray,fresh bread,green tea,,,,,,,,
4245,shrimp,ground beef,pepper,mineral water,whole wheat rice,,,,,,,,,,,,,,,
4246,eggs,french fries,strawberries,,,,,,,,,,,,,,,,,
4247,escalope,,,,,,,,,,,,,,,,,,,
4248,grated cheese,frozen vegetables,,,,,,,,,,,,,,,,,,
4249,chicken,muffins,cake,yogurt cake,,,,,,,,,,,,,,,,
4250,frozen vegetables,tomatoes,mineral water,cake,,,,,,,,,,,,,,,,
4251,energy bar,,,,,,,,,,,,,,,,,,,
4252,grated cheese,ground beef,whole wheat rice,cake,,,,,,,,,,,,,,,,
4253,burgers,grated cheese,mineral water,cake,,,,,,,,,,,,,,,,
4254,milk,cookies,white wine,,,,,,,,,,,,,,,,,
4255,ham,pickles,spaghetti,eggs,whole wheat rice,french fries,champagne,,,,,,,,,,,,,
4256,frozen vegetables,whole wheat rice,energy drink,,,,,,,,,,,,,,,,,
4257,red wine,spaghetti,mineral water,cream,oil,chicken,extra dark chocolate,cookies,,,,,,,,,,,,
4258,ground beef,spaghetti,milk,eggs,chocolate,pancakes,fresh bread,,,,,,,,,,,,,
4259,chocolate,mineral water,olive oil,eggs,honey,frozen smoothie,sparkling water,candy bars,,,,,,,,,,,,
4260,avocado,whole wheat rice,,,,,,,,,,,,,,,,,,
4261,green tea,,,,,,,,,,,,,,,,,,,
4262,tomatoes,flax seed,chicken,green tea,chocolate,cottage cheese,,,,,,,,,,,,,,
4263,burgers,spaghetti,bug spray,babies food,low fat yogurt,,,,,,,,,,,,,,,
4264,burgers,spaghetti,mineral water,milk,french fries,,,,,,,,,,,,,,,
4265,shrimp,champagne,,,,,,,,,,,,,,,,,,
4266,chocolate,,,,,,,,,,,,,,,,,,,
4267,cake,,,,,,,,,,,,,,,,,,,
4268,burgers,eggs,low fat yogurt,green tea,,,,,,,,,,,,,,,,
4269,burgers,black tea,escalope,,,,,,,,,,,,,,,,,
4270,mineral water,eggs,,,,,,,,,,,,,,,,,,
4271,dessert wine,mineral water,milk,flax seed,strong cheese,honey,,,,,,,,,,,,,,
4272,chocolate,,,,,,,,,,,,,,,,,,,
4273,herb & pepper,,,,,,,,,,,,,,,,,,,
4274,antioxydant juice,escalope,,,,,,,,,,,,,,,,,,
4275,ham,shrimp,tomatoes,ground beef,chocolate,,,,,,,,,,,,,,,
4276,escalope,honey,,,,,,,,,,,,,,,,,,
4277,mineral water,fromage blanc,cider,eggs,,,,,,,,,,,,,,,,
4278,vegetables mix,honey,frozen smoothie,,,,,,,,,,,,,,,,,
4279,avocado,milk,cereals,fresh bread,,,,,,,,,,,,,,,,
4280,parmesan cheese,spaghetti,french fries,cookies,,,,,,,,,,,,,,,,
4281,eggs,chicken,green tea,french fries,,,,,,,,,,,,,,,,
4282,burgers,ham,tomatoes,spaghetti,hot dogs,fresh bread,,,,,,,,,,,,,,
4283,burgers,energy bar,eggs,,,,,,,,,,,,,,,,,
4284,chocolate,fresh bread,,,,,,,,,,,,,,,,,,
4285,chocolate,frozen smoothie,cottage cheese,,,,,,,,,,,,,,,,,
4286,mineral water,chocolate,mashed potato,brownies,,,,,,,,,,,,,,,,
4287,eggs,,,,,,,,,,,,,,,,,,,
4288,eggs,french fries,,,,,,,,,,,,,,,,,,
4289,shrimp,whole wheat pasta,milk,chocolate,french fries,frozen smoothie,pancakes,energy drink,green tea,,,,,,,,,,,
4290,eggs,cake,green tea,,,,,,,,,,,,,,,,,
4291,grated cheese,pepper,pancakes,cake,french fries,green tea,,,,,,,,,,,,,,
4292,mineral water,salmon,,,,,,,,,,,,,,,,,,
4293,escalope,,,,,,,,,,,,,,,,,,,
4294,chocolate,,,,,,,,,,,,,,,,,,,
4295,energy drink,mayonnaise,,,,,,,,,,,,,,,,,,
4296,whole wheat pasta,milk,olive oil,,,,,,,,,,,,,,,,,
4297,avocado,french fries,,,,,,,,,,,,,,,,,,
4298,fresh tuna,pepper,tomato sauce,sandwich,,,,,,,,,,,,,,,,
4299,grated cheese,frozen vegetables,french wine,cooking oil,french fries,escalope,fresh bread,,,,,,,,,,,,,
4300,cereals,champagne,,,,,,,,,,,,,,,,,,
4301,mineral water,whole wheat rice,cooking oil,french fries,escalope,,,,,,,,,,,,,,,
4302,cooking oil,frozen smoothie,mushroom cream sauce,,,,,,,,,,,,,,,,,
4303,mineral water,,,,,,,,,,,,,,,,,,,
4304,mineral water,avocado,green tea,chocolate,,,,,,,,,,,,,,,,
4305,spaghetti,eggs,,,,,,,,,,,,,,,,,,
4306,pancakes,,,,,,,,,,,,,,,,,,,
4307,cookies,,,,,,,,,,,,,,,,,,,
4308,burgers,champagne,fresh bread,,,,,,,,,,,,,,,,,
4309,fresh tuna,ground beef,olive oil,ketchup,,,,,,,,,,,,,,,,
4310,mineral water,,,,,,,,,,,,,,,,,,,
4311,spaghetti,meatballs,vegetables mix,muffins,cake,,,,,,,,,,,,,,,
4312,burgers,salmon,eggs,french fries,mushroom cream sauce,,,,,,,,,,,,,,,
4313,escalope,,,,,,,,,,,,,,,,,,,
4314,champagne,fresh bread,,,,,,,,,,,,,,,,,,
4315,whole wheat rice,,,,,,,,,,,,,,,,,,,
4316,olive oil,cooking oil,cottage cheese,,,,,,,,,,,,,,,,,
4317,frozen vegetables,olive oil,oatmeal,,,,,,,,,,,,,,,,,
4318,shrimp,tomatoes,,,,,,,,,,,,,,,,,,
4319,tomatoes,french fries,sandwich,,,,,,,,,,,,,,,,,
4320,brownies,energy drink,,,,,,,,,,,,,,,,,,
4321,frozen vegetables,spaghetti,mineral water,whole wheat rice,cooking oil,chocolate bread,whole weat flour,brownies,,,,,,,,,,,,
4322,turkey,shrimp,tomatoes,meatballs,energy bar,vegetables mix,whole wheat rice,carrots,green tea,,,,,,,,,,,
4323,burgers,eggs,chicken,chocolate,french fries,frozen smoothie,champagne,babies food,,,,,,,,,,,,
4324,turkey,burgers,soup,fromage blanc,french fries,cookies,,,,,,,,,,,,,,
4325,soup,green tea,escalope,,,,,,,,,,,,,,,,,
4326,ham,shrimp,milk,whole wheat rice,cereals,chocolate,pancakes,fresh bread,,,,,,,,,,,,
4327,spaghetti,mineral water,spinach,honey,cake,french fries,frozen smoothie,energy drink,,,,,,,,,,,,
4328,mineral water,,,,,,,,,,,,,,,,,,,
4329,pancakes,,,,,,,,,,,,,,,,,,,
4330,tomatoes,olive oil,,,,,,,,,,,,,,,,,,
4331,spaghetti,mineral water,barbecue sauce,yogurt cake,salad,,,,,,,,,,,,,,,
4332,burgers,spaghetti,avocado,milk,flax seed,french wine,cider,chocolate,frozen smoothie,green tea,,,,,,,,,,
4333,hot dogs,,,,,,,,,,,,,,,,,,,
4334,cooking oil,light mayo,,,,,,,,,,,,,,,,,,
4335,mineral water,eggs,bug spray,,,,,,,,,,,,,,,,,
4336,turkey,burgers,spaghetti,honey,carrots,brownies,green tea,,,,,,,,,,,,,
4337,mineral water,,,,,,,,,,,,,,,,,,,
4338,mineral water,black tea,almonds,,,,,,,,,,,,,,,,,
4339,whole wheat rice,french fries,cookies,fresh bread,green tea,,,,,,,,,,,,,,,
4340,oil,french fries,champagne,cookies,hot dogs,light mayo,tomato juice,green tea,,,,,,,,,,,,
4341,shallot,,,,,,,,,,,,,,,,,,,
4342,eggs,ham,,,,,,,,,,,,,,,,,,
4343,chocolate,,,,,,,,,,,,,,,,,,,
4344,shrimp,ground beef,cooking oil,cereals,green tea,,,,,,,,,,,,,,,
4345,mineral water,avocado,meatballs,milk,cake,cooking oil,chocolate,french fries,,,,,,,,,,,,
4346,turkey,herb & pepper,ground beef,mineral water,chocolate,milk,eggs,blueberries,honey,,,,,,,,,,,
4347,french fries,,,,,,,,,,,,,,,,,,,
4348,ham,spaghetti,,,,,,,,,,,,,,,,,,
4349,burgers,energy bar,almonds,eggs,french fries,green tea,,,,,,,,,,,,,,
4350,burgers,ham,avocado,eggs,mint green tea,french fries,cookies,,,,,,,,,,,,,
4351,pancakes,,,,,,,,,,,,,,,,,,,
4352,cookies,,,,,,,,,,,,,,,,,,,
4353,escalope,low fat yogurt,,,,,,,,,,,,,,,,,,
4354,dessert wine,ground beef,spaghetti,fromage blanc,cake,chicken,protein bar,,,,,,,,,,,,,
4355,cake,cottage cheese,,,,,,,,,,,,,,,,,,
4356,herb & pepper,red wine,spaghetti,eggs,chicken,champagne,tomato juice,low fat yogurt,,,,,,,,,,,,
4357,cookies,low fat yogurt,,,,,,,,,,,,,,,,,,
4358,low fat yogurt,,,,,,,,,,,,,,,,,,,
4359,burgers,eggs,,,,,,,,,,,,,,,,,,
4360,shrimp,tomatoes,ground beef,butter,green tea,toothpaste,,,,,,,,,,,,,,
4361,cookies,,,,,,,,,,,,,,,,,,,
4362,eggs,whole wheat rice,,,,,,,,,,,,,,,,,,
4363,cookies,,,,,,,,,,,,,,,,,,,
4364,turkey,mineral water,eggs,low fat yogurt,,,,,,,,,,,,,,,,
4365,turkey,burgers,ham,frozen vegetables,whole wheat rice,chocolate,,,,,,,,,,,,,,
4366,french fries,escalope,,,,,,,,,,,,,,,,,,
4367,ham,chocolate,ground beef,pepper,mineral water,french fries,,,,,,,,,,,,,,
4368,champagne,,,,,,,,,,,,,,,,,,,
4369,burgers,spaghetti,,,,,,,,,,,,,,,,,,
4370,whole wheat rice,rice,oil,cooking oil,french fries,low fat yogurt,,,,,,,,,,,,,,
4371,french wine,rice,french fries,brownies,,,,,,,,,,,,,,,,
4372,avocado,milk,,,,,,,,,,,,,,,,,,
4373,green tea,,,,,,,,,,,,,,,,,,,
4374,spaghetti,flax seed,french fries,,,,,,,,,,,,,,,,,
4375,turkey,burgers,mineral water,meatballs,milk,almonds,french wine,eggs,cake,carrots,low fat yogurt,,,,,,,,,
4376,grated cheese,mineral water,rice,frozen smoothie,,,,,,,,,,,,,,,,
4377,milk,eggs,,,,,,,,,,,,,,,,,,
4378,herb & pepper,shrimp,ground beef,milk,olive oil,whole wheat rice,fresh bread,low fat yogurt,,,,,,,,,,,,
4379,fresh tuna,almonds,,,,,,,,,,,,,,,,,,
4380,turkey,frozen vegetables,spaghetti,eggs,chocolate,french fries,frozen smoothie,hot dogs,brownies,,,,,,,,,,,
4381,red wine,spaghetti,carrots,,,,,,,,,,,,,,,,,
4382,champagne,,,,,,,,,,,,,,,,,,,
4383,yams,cake,,,,,,,,,,,,,,,,,,
4384,energy drink,,,,,,,,,,,,,,,,,,,
4385,cereals,champagne,salad,,,,,,,,,,,,,,,,,
4386,pickles,turkey,parmesan cheese,pepper,spaghetti,mineral water,meatballs,milk,olive oil,french wine,salmon,frozen smoothie,fresh bread,,,,,,,
4387,grated cheese,herb & pepper,tomatoes,ground beef,mineral water,rice,low fat yogurt,,,,,,,,,,,,,
4388,grated cheese,frozen vegetables,milk,salmon,eggs,cooking oil,corn,,,,,,,,,,,,,
4389,ground beef,tomato sauce,spaghetti,,,,,,,,,,,,,,,,,
4390,frozen vegetables,eggs,champagne,,,,,,,,,,,,,,,,,
4391,grated cheese,mineral water,eggs,protein bar,tomato juice,fresh bread,,,,,,,,,,,,,,
4392,escalope,,,,,,,,,,,,,,,,,,,
4393,mineral water,honey,,,,,,,,,,,,,,,,,,
4394,meatballs,,,,,,,,,,,,,,,,,,,
4395,burgers,ham,eggs,whole wheat rice,ham,french fries,cookies,green tea,,,,,,,,,,,,
4396,mineral water,chocolate,chicken,,,,,,,,,,,,,,,,,
4397,mineral water,chocolate,french fries,strawberries,,,,,,,,,,,,,,,,
4398,champagne,,,,,,,,,,,,,,,,,,,
4399,brownies,,,,,,,,,,,,,,,,,,,
4400,red wine,olive oil,chicken,eggs,rice,eggplant,sparkling water,,,,,,,,,,,,,
4401,champagne,,,,,,,,,,,,,,,,,,,
4402,cookies,,,,,,,,,,,,,,,,,,,
4403,turkey,chocolate,red wine,spaghetti,avocado,butter,oil,green beans,body spray,,,,,,,,,,,
4404,ground beef,clothes accessories,chocolate,,,,,,,,,,,,,,,,,
4405,muffins,sandwich,,,,,,,,,,,,,,,,,,
4406,fromage blanc,french fries,escalope,pasta,mushroom cream sauce,fresh bread,,,,,,,,,,,,,,
4407,frozen vegetables,melons,,,,,,,,,,,,,,,,,,
4408,fresh tuna,shrimp,frozen vegetables,tomatoes,fromage blanc,honey,green tea,,,,,,,,,,,,,
4409,burgers,red wine,tomatoes,ground beef,mineral water,pancakes,,,,,,,,,,,,,,
4410,spaghetti,,,,,,,,,,,,,,,,,,,
4411,green tea,,,,,,,,,,,,,,,,,,,
4412,tomatoes,spaghetti,meatballs,french wine,eggs,melons,fresh bread,,,,,,,,,,,,,
4413,mineral water,chocolate,french fries,pancakes,,,,,,,,,,,,,,,,
4414,french fries,brownies,,,,,,,,,,,,,,,,,,
4415,mineral water,,,,,,,,,,,,,,,,,,,
4416,energy bar,candy bars,,,,,,,,,,,,,,,,,,
4417,tomato juice,candy bars,,,,,,,,,,,,,,,,,,
4418,grated cheese,spaghetti,mineral water,eggs,gums,frozen smoothie,body spray,energy drink,,,,,,,,,,,,
4419,hot dogs,,,,,,,,,,,,,,,,,,,
4420,tomatoes,cookies,green tea,,,,,,,,,,,,,,,,,
4421,avocado,cider,eggs,whole wheat rice,french fries,cookies,low fat yogurt,,,,,,,,,,,,,
4422,champagne,,,,,,,,,,,,,,,,,,,
4423,mint green tea,cookies,,,,,,,,,,,,,,,,,,
4424,cake,chocolate,yogurt cake,,,,,,,,,,,,,,,,,
4425,cookies,,,,,,,,,,,,,,,,,,,
4426,burgers,ham,chocolate,,,,,,,,,,,,,,,,,
4427,eggs,carrots,,,,,,,,,,,,,,,,,,
4428,clothes accessories,cookies,,,,,,,,,,,,,,,,,,
4429,chocolate,ground beef,mineral water,eggs,rice,low fat yogurt,,,,,,,,,,,,,,
4430,french fries,,,,,,,,,,,,,,,,,,,
4431,mint green tea,cottage cheese,,,,,,,,,,,,,,,,,,
4432,mineral water,chicken,chocolate,escalope,,,,,,,,,,,,,,,,
4433,dessert wine,frozen vegetables,spaghetti,,,,,,,,,,,,,,,,,
4434,burgers,mineral water,,,,,,,,,,,,,,,,,,
4435,pickles,herb & pepper,tomatoes,ground beef,chocolate,green tea,,,,,,,,,,,,,,
4436,cookies,honey,,,,,,,,,,,,,,,,,,
4437,fresh tuna,fromage blanc,eggs,honey,frozen smoothie,cookies,cottage cheese,brownies,pancakes,energy drink,,,,,,,,,,
4438,french fries,,,,,,,,,,,,,,,,,,,
4439,cake,gums,green tea,chocolate,champagne,,,,,,,,,,,,,,,
4440,frozen vegetables,tomatoes,parmesan cheese,gums,chocolate,french fries,strawberries,,,,,,,,,,,,,
4441,shrimp,frozen vegetables,milk,butter,cake,,,,,,,,,,,,,,,
4442,tomatoes,,,,,,,,,,,,,,,,,,,
4443,milk,,,,,,,,,,,,,,,,,,,
4444,ground beef,mineral water,french wine,strong cheese,,,,,,,,,,,,,,,,
4445,brownies,yogurt cake,,,,,,,,,,,,,,,,,,
4446,burgers,mineral water,milk,olive oil,cake,frozen smoothie,light mayo,,,,,,,,,,,,,
4447,french fries,,,,,,,,,,,,,,,,,,,
4448,french fries,energy drink,,,,,,,,,,,,,,,,,,
4449,mineral water,,,,,,,,,,,,,,,,,,,
4450,burgers,frozen vegetables,ground beef,pepper,spaghetti,mineral water,honey,strawberries,,,,,,,,,,,,
4451,burgers,ham,milk,,,,,,,,,,,,,,,,,
4452,mineral water,cooking oil,french fries,,,,,,,,,,,,,,,,,
4453,grated cheese,shrimp,spaghetti,avocado,milk,,,,,,,,,,,,,,,
4454,mineral water,pancakes,eggs,frozen smoothie,,,,,,,,,,,,,,,,
4455,mineral water,whole wheat rice,,,,,,,,,,,,,,,,,,
4456,eggs,cake,barbecue sauce,french fries,body spray,,,,,,,,,,,,,,,
4457,mineral water,escalope,,,,,,,,,,,,,,,,,,
4458,low fat yogurt,,,,,,,,,,,,,,,,,,,
4459,fresh tuna,frozen vegetables,spaghetti,mineral water,milk,chutney,eggs,light cream,cooking oil,tomato juice,green tea,,,,,,,,,
4460,burgers,chocolate,french wine,pancakes,,,,,,,,,,,,,,,,
4461,escalope,,,,,,,,,,,,,,,,,,,
4462,grated cheese,frozen vegetables,mineral water,pancakes,,,,,,,,,,,,,,,,
4463,yogurt cake,,,,,,,,,,,,,,,,,,,
4464,turkey,frozen vegetables,ground beef,mineral water,chicken,barbecue sauce,sparkling water,,,,,,,,,,,,,
4465,escalope,,,,,,,,,,,,,,,,,,,
4466,champagne,,,,,,,,,,,,,,,,,,,
4467,grated cheese,french fries,frozen smoothie,escalope,pasta,,,,,,,,,,,,,,,
4468,mineral water,vegetables mix,chocolate,,,,,,,,,,,,,,,,,
4469,pancakes,,,,,,,,,,,,,,,,,,,
4470,ground beef,tomato sauce,spaghetti,chicken,salmon,oatmeal,eggplant,green tea,,,,,,,,,,,,
4471,brownies,,,,,,,,,,,,,,,,,,,
4472,shrimp,ground beef,salmon,strawberries,,,,,,,,,,,,,,,,
4473,grated cheese,ground beef,,,,,,,,,,,,,,,,,,
4474,salt,green tea,,,,,,,,,,,,,,,,,,
4475,eggs,,,,,,,,,,,,,,,,,,,
4476,eggs,french fries,,,,,,,,,,,,,,,,,,
4477,chocolate,mushroom cream sauce,,,,,,,,,,,,,,,,,,
4478,grated cheese,mineral water,green tea,,,,,,,,,,,,,,,,,
4479,energy bar,eggs,french fries,melons,,,,,,,,,,,,,,,,
4480,french fries,,,,,,,,,,,,,,,,,,,
4481,burgers,mineral water,,,,,,,,,,,,,,,,,,
4482,turkey,ham,meatballs,pancakes,whole wheat rice,chicken,carrots,,,,,,,,,,,,,
4483,mineral water,low fat yogurt,,,,,,,,,,,,,,,,,,
4484,escalope,,,,,,,,,,,,,,,,,,,
4485,pancakes,,,,,,,,,,,,,,,,,,,
4486,ham,soup,olive oil,blueberries,,,,,,,,,,,,,,,,
4487,tomatoes,french fries,cookies,,,,,,,,,,,,,,,,,
4488,mineral water,,,,,,,,,,,,,,,,,,,
4489,escalope,pasta,,,,,,,,,,,,,,,,,,
4490,spaghetti,olive oil,eggs,brownies,tomato juice,low fat yogurt,,,,,,,,,,,,,,
4491,french fries,strawberries,,,,,,,,,,,,,,,,,,
4492,butter,,,,,,,,,,,,,,,,,,,
4493,tomatoes,olive oil,french wine,chocolate,frozen smoothie,honey,,,,,,,,,,,,,,
4494,shrimp,spaghetti,mineral water,chocolate,oil,protein bar,,,,,,,,,,,,,,
4495,ham,eggs,honey,gums,light cream,ham,,,,,,,,,,,,,,
4496,chocolate,light mayo,,,,,,,,,,,,,,,,,,
4497,soda,escalope,tomato juice,,,,,,,,,,,,,,,,,
4498,spaghetti,eggs,,,,,,,,,,,,,,,,,,
4499,burgers,pancakes,,,,,,,,,,,,,,,,,,
4500,yams,,,,,,,,,,,,,,,,,,,
4501,milk,,,,,,,,,,,,,,,,,,,
4502,grated cheese,spaghetti,butter,,,,,,,,,,,,,,,,,
4503,muffins,eggs,pancakes,,,,,,,,,,,,,,,,,
4504,herb & pepper,,,,,,,,,,,,,,,,,,,
4505,escalope,,,,,,,,,,,,,,,,,,,
4506,french fries,,,,,,,,,,,,,,,,,,,
4507,eggs,honey,,,,,,,,,,,,,,,,,,
4508,tomatoes,chocolate,,,,,,,,,,,,,,,,,,
4509,frozen vegetables,milk,bug spray,escalope,,,,,,,,,,,,,,,,
4510,candy bars,,,,,,,,,,,,,,,,,,,
4511,escalope,,,,,,,,,,,,,,,,,,,
4512,mineral water,frozen smoothie,strawberries,green tea,,,,,,,,,,,,,,,,
4513,chocolate,frozen vegetables,pancakes,champagne,,,,,,,,,,,,,,,,
4514,cookies,,,,,,,,,,,,,,,,,,,
4515,pepper,mineral water,,,,,,,,,,,,,,,,,,
4516,spaghetti,avocado,honey,clothes accessories,,,,,,,,,,,,,,,,
4517,turkey,frozen vegetables,spaghetti,mineral water,chocolate,vegetables mix,frozen smoothie,,,,,,,,,,,,,
4518,spaghetti,mineral water,,,,,,,,,,,,,,,,,,
4519,champagne,,,,,,,,,,,,,,,,,,,
4520,spaghetti,chicken,,,,,,,,,,,,,,,,,,
4521,cookies,,,,,,,,,,,,,,,,,,,
4522,frozen vegetables,spaghetti,mineral water,bacon,whole wheat rice,eggplant,french fries,champagne,escalope,shampoo,,,,,,,,,,
4523,frozen smoothie,cottage cheese,low fat yogurt,,,,,,,,,,,,,,,,,
4524,whole wheat pasta,eggs,cake,frozen smoothie,cookies,,,,,,,,,,,,,,,
4525,spaghetti,whole wheat rice,cake,chocolate,cookies,,,,,,,,,,,,,,,
4526,spaghetti,,,,,,,,,,,,,,,,,,,
4527,ham,milk,chicken,whole wheat rice,ham,eggplant,,,,,,,,,,,,,,
4528,spaghetti,mineral water,avocado,strawberries,,,,,,,,,,,,,,,,
4529,fresh tuna,,,,,,,,,,,,,,,,,,,
4530,pancakes,yogurt cake,,,,,,,,,,,,,,,,,,
4531,turkey,mineral water,honey,whole wheat rice,,,,,,,,,,,,,,,,
4532,fromage blanc,honey,chicken,cereals,french fries,frozen smoothie,light mayo,green tea,,,,,,,,,,,,
4533,eggs,,,,,,,,,,,,,,,,,,,
4534,strawberries,,,,,,,,,,,,,,,,,,,
4535,ground beef,tomato sauce,,,,,,,,,,,,,,,,,,
4536,frozen vegetables,avocado,milk,french fries,light mayo,,,,,,,,,,,,,,,
4537,protein bar,,,,,,,,,,,,,,,,,,,
4538,frozen vegetables,tomatoes,fromage blanc,eggs,champagne,frozen smoothie,light mayo,,,,,,,,,,,,,
4539,burgers,milk,cereals,,,,,,,,,,,,,,,,,
4540,french fries,shallot,,,,,,,,,,,,,,,,,,
4541,gums,,,,,,,,,,,,,,,,,,,
4542,turkey,spaghetti,eggs,honey,french fries,champagne,pancakes,protein bar,,,,,,,,,,,,
4543,burgers,vegetables mix,green tea,,,,,,,,,,,,,,,,,
4544,shrimp,frozen vegetables,tomatoes,strawberries,,,,,,,,,,,,,,,,
4545,mineral water,milk,cake,whole weat flour,french fries,,,,,,,,,,,,,,,
4546,champagne,cookies,,,,,,,,,,,,,,,,,,
4547,frozen vegetables,mineral water,low fat yogurt,green tea,,,,,,,,,,,,,,,,
4548,herb & pepper,spaghetti,escalope,mushroom cream sauce,green tea,,,,,,,,,,,,,,,
4549,spaghetti,,,,,,,,,,,,,,,,,,,
4550,turkey,frozen vegetables,tomatoes,avocado,energy bar,pancakes,light cream,cooking oil,pet food,oatmeal,,,,,,,,,,
4551,burgers,tomatoes,soup,french fries,cookies,body spray,green tea,,,,,,,,,,,,,
4552,mineral water,milk,cider,chocolate,french fries,,,,,,,,,,,,,,,
4553,burgers,fresh tuna,tomatoes,pepper,spaghetti,french wine,honey,chocolate,green tea,,,,,,,,,,,
4554,escalope,,,,,,,,,,,,,,,,,,,
4555,cereals,,,,,,,,,,,,,,,,,,,
4556,gluten free bar,,,,,,,,,,,,,,,,,,,
4557,spaghetti,gums,,,,,,,,,,,,,,,,,,
4558,ham,spaghetti,hot dogs,,,,,,,,,,,,,,,,,
4559,burgers,frozen vegetables,chocolate,vegetables mix,rice,frozen smoothie,,,,,,,,,,,,,,
4560,mineral water,whole wheat rice,,,,,,,,,,,,,,,,,,
4561,frozen vegetables,mineral water,pancakes,mushroom cream sauce,mayonnaise,,,,,,,,,,,,,,,
4562,burgers,butter,whole wheat rice,oil,cookies,green tea,,,,,,,,,,,,,,
4563,eggs,cake,,,,,,,,,,,,,,,,,,
4564,muffins,gums,,,,,,,,,,,,,,,,,,
4565,dessert wine,mineral water,eggs,french fries,,,,,,,,,,,,,,,,
4566,turkey,red wine,frozen vegetables,spaghetti,mineral water,milk,olive oil,eggs,cauliflower,low fat yogurt,,,,,,,,,,
4567,strawberries,melons,,,,,,,,,,,,,,,,,,
4568,french fries,hot dogs,body spray,light mayo,,,,,,,,,,,,,,,,
4569,chocolate,avocado,milk,eggs,cooking oil,strawberries,,,,,,,,,,,,,,
